Feature1,Feature2,Feature3,Feature4,Target_KNN,Target_LR,Target_NB,Target_SVM,Target_CNN,Target_RNN,Cluster
124,72.00102151890664,26,67.19934300686381,0,20.0,2,1,68.77925991584158,10.0,1
120,83.00394086734926,44,81.39627253585984,0,20.201005025125628,3,0,40.49010300693471,10.050251256281408,0
183,132.1922832876972,66,93.60323463622369,0,20.402010050251256,1,0,59.69034496013782,10.100502512562814,4
51,88.88974663891838,68,18.890349981530914,0,20.603015075376884,2,1,85.21842775490839,10.150753768844222,4
166,161.76319053068804,29,19.369230565215673,0,20.804020100502512,1,1,74.77379683297653,10.201005025125628,4
141,126.90659526064927,44,73.48503462360115,0,21.00502512562814,0,0,80.14071109251816,10.251256281407036,1
178,44.25494787603508,48,26.31978589253741,0,21.20603015075377,0,1,91.56802478536954,10.301507537688442,2
101,91.76035158912094,26,37.60874689828981,0,21.407035175879397,1,1,54.32518719214505,10.35175879396985,2
157,121.16623299026233,64,68.15571543516995,1,21.608040201005025,1,0,92.23425194164773,10.402010050251256,4
78,84.68186753159242,35,46.84158944067568,0,21.809045226130653,2,1,44.40673540094993,10.452261306532664,2
119,107.00743415177747,59,88.54084401410257,1,22.01005025125628,1,0,62.9528054994419,10.50251256281407,3
148,123.94585200593858,51,46.26501096034043,1,22.21105527638191,2,0,80.84547035759772,10.552763819095478,4
136,117.70128347970646,13,52.725408922612296,1,22.412060301507537,2,0,84.96404211288613,10.603015075376884,2
186,142.58430689135184,62,35.73351313041809,1,22.613065326633166,2,0,86.85324060358153,10.653266331658292,1
60,80.04661945201222,39,15.165104501564013,0,22.814070351758794,1,1,101.98198931500774,10.703517587939698,1
195,152.83957626128358,16,34.35734333007762,0,23.015075376884422,1,0,59.28230931430812,10.753768844221106,4
88,158.78440487739454,45,53.7316972691335,1,23.21608040201005,2,1,54.50868706828269,10.804020100502512,1
80,52.230245274086506,43,91.66210148481143,1,23.417085427135678,3,0,76.6399077062849,10.85427135678392,4
55,137.40564388268925,47,55.07230639084304,0,23.618090452261306,1,0,73.90848573486099,10.904522613065327,3
159,143.01587507788133,23,93.9388911261319,0,23.819095477386934,2,0,96.2023399801862,10.954773869346734,4
154,57.12868209110013,35,82.31563259763595,1,24.020100502512562,3,0,46.503464707795374,11.00502512562814,4
