Feature1,Feature2,Feature3,Feature4,Target_KNN,Target_LR,Target_NB,Target_SVM,Target_CNN,Target_RNN,Cluster
56,134.1258506753726,39,88.07926796790339,1,15.0,2,0,61.44194491447489,8.0,0
133,61.235443179501814,6,63.38803184371427,1,15.075376884422111,0,0,95.22896119445554,8.035175879396984,0
181,132.95708132027423,31,10.834215951792245,0,15.150753768844222,3,0,71.24936614811075,8.07035175879397,0
183,68.83739274462445,6,30.43307877481756,1,15.226130653266331,2,1,95.88662383628468,8.105527638190955,2
107,58.5930056928365,39,30.85706399359332,1,15.301507537688442,0,0,97.56956615677949,8.140703517587939,0
71,104.3797056432711,22,15.540344502868795,0,15.376884422110553,4,1,100.02936363628987,8.175879396984925,2
176,62.68955962506054,18,86.78612144607432,1,15.452261306532662,4,1,104.16446650888452,8.21105527638191,0
52,101.92713728278875,24,48.2604235660739,0,15.527638190954773,4,1,70.16896543593074,8.246231155778894,0
176,99.27813471483029,22,81.66516778975056,0,15.603015075376884,4,0,62.32067728247972,8.28140703517588,1
90,93.24706055529964,14,35.777240275570264,1,15.678391959798995,1,1,80.75391226158797,8.316582914572864,2
155,69.45456155026369,29,20.01868563462617,1,15.753768844221106,3,0,65.98206964063394,8.35175879396985,0
63,91.30496381469197,6,47.94688879249711,1,15.829145728643216,3,0,82.07519167601632,8.386934673366834,2
61,97.5431117481048,29,19.11653077714537,1,15.904522613065327,1,1,89.39101038506772,8.422110552763819,2
136,90.93929550441155,37,48.88124023820319,1,15.979899497487438,2,1,88.18835129444957,8.457286432160805,3
61,77.77452885765621,40,83.62377449755262,1,16.055276381909547,2,1,66.21870209140849,8.492462311557789,1
190,21.906717416014295,35,51.66145134673702,0,16.13065326633166,4,0,51.6802141189127,8.527638190954773,1
74,96.31802200114963,18,59.319978151606676,0,16.20603015075377,0,1,70.13705369235453,8.56281407035176,1
94,41.897770068553555,5,22.531074957904664,1,16.281407035175878,2,0,49.981590085733615,8.597989949748744,3
171,103.53487596313465,20,13.498850070397559,0,16.35678391959799,0,1,102.30679246286658,8.633165829145728,3
196,118.71476262997258,7,18.864636974384563,1,16.4321608040201,3,1,64.21142225165002,8.668341708542714,1
104,85.05789018699639,39,57.88252605474925,0,16.507537688442213,0,0,50.81218230563266,8.703517587939698,3
149,90.50727644736598,45,17.600935919384373,0,16.582914572864322,3,0,41.78134319340256,8.738693467336683,3
185,143.69221275657884,10,40.07943119530491,0,16.65829145728643,1,0,85.2075670400539,8.773869346733669,3
168,130.13175697843465,29,54.00735523665248,1,16.733668341708544,1,0,84.58316222183203,8.809045226130653,1
102,138.85074707369108,17,41.092223890387764,0,16.809045226130653,4,0,63.84229166069042,8.844221105527637,1
81,125.78961748154623,38,23.09470411722412,1,16.884422110552762,2,0,45.01983221933557,8.879396984924623,1
100,34.15938444007509,12,31.90330460112852,0,16.959798994974875,4,1,68.67402264266624,8.914572864321608,3
93,39.36894127612531,25,84.26540262788616,0,17.035175879396984,3,1,61.78522465443755,8.949748743718594,1
131,88.46109364496475,38,64.07858204690842,0,17.110552763819094,4,0,87.39844478145065,8.984924623115578,3
195,51.989055643739775,8,49.68382709439092,0,17.185929648241206,0,1,82.40454746168832,9.020100502512562,0
199,81.97041175535068,29,11.017191198951481,0,17.261306532663315,3,0,65.5215609738278,9.055276381909547,3
86,71.26749209638552,19,89.39323203915761,1,17.33668341708543,1,1,55.25247879784931,9.090452261306533,2
145,91.42385099595893,8,63.71639479157146,1,17.412060301507537,2,1,109.16251763089143,9.125628140703517,1
105,117.09384309765696,49,35.353798187595594,0,17.487437185929647,3,0,71.78011348372804,9.160804020100503,1
154,113.01381792290567,16,80.34149279982705,0,17.56281407035176,3,0,88.17919650461658,9.195979899497488,2
108,87.76043722309346,36,30.67452962334545,0,17.63819095477387,0,0,49.838707730485254,9.231155778894472,3
180,126.91114444621755,36,53.52132633462013,0,17.71356783919598,2,1,73.99127897615784,9.266331658291458,0
84,76.01207189994433,32,60.88566109838601,1,17.78894472361809,1,0,41.927570390862584,9.301507537688442,2
