Feature1,Feature2,Feature3,Feature4,Target_KNN,Target_LR,Target_NB,Target_SVM,Target_CNN,Target_RNN,Cluster
61,11,61,92.82159811830502,1,10.0,0,0,39.450089419484485,5.0,0
24,12,51,54.20111162092472,1,10.050251256281408,0,1,63.86284593526889,5.025125628140704,0
81,65,79,94.46162238091279,0,10.100502512562814,0,1,48.89378556745364,5.050251256281407,2
70,90,24,75.51332432927705,0,10.150753768844222,0,1,67.78899452357354,5.075376884422111,1
30,68,63,61.01309480201881,0,10.201005025125628,2,0,41.340971452410926,5.100502512562814,0
92,11,69,82.490871734992,1,10.251256281407036,2,0,88.90707622170304,5.125628140703518,2
96,11,17,68.90001927784692,0,10.301507537688442,1,0,89.248549452019,5.150753768844221,1
84,63,62,62.67925540733527,1,10.35175879396985,1,1,96.86654189064353,5.175879396984925,2
84,96,69,82.30506185779959,1,10.402010050251256,0,1,40.82704986182654,5.201005025125628,1
97,10,14,54.923449265817275,0,10.452261306532664,2,1,73.63327856334935,5.226130653266332,2
33,28,77,59.81515174114591,0,10.50251256281407,2,0,63.19661160902587,5.251256281407035,1
12,11,15,66.06711066929628,0,10.552763819095478,2,0,54.106861243096326,5.276381909547739,0
31,62,56,55.22093043238833,1,10.603015075376884,1,1,54.60781127939532,5.301507537688442,1
62,53,64,64.31212520688503,0,10.653266331658292,1,0,58.89554854247266,5.326633165829146,2
11,99,49,74.28838151230065,1,10.703517587939698,2,0,79.34478847822672,5.351758793969849,2
97,41,61,84.4584316546401,0,10.753768844221106,2,0,71.88002407877082,5.376884422110553,1
39,79,25,86.03169118651431,1,10.804020100502512,2,0,62.17770589327918,5.402010050251256,0
47,41,22,89.36742111260159,1,10.85427135678392,1,1,35.315338725873545,5.42713567839196,0
11,77,39,84.65269941659787,0,10.904522613065327,2,0,35.443574085527,5.452261306532663,1
73,64,28,80.86236562581453,1,10.954773869346734,2,0,30.163757343804477,5.477386934673367,1
69,84,26,54.2503882775482,1,11.00502512562814,0,0,97.73895717449605,5.50251256281407,2
30,65,72,64.01337357232148,0,11.055276381909549,0,0,30.367767299086943,5.527638190954774,0
42,26,28,68.66289345281366,1,11.105527638190955,1,1,37.21656222096214,5.552763819095477,1
85,47,67,44.97347930160125,0,11.155778894472363,2,1,52.02175897665876,5.577889447236181,0
67,33,64,71.70220727783254,1,11.206030150753769,2,0,86.52011762717328,5.603015075376884,1
31,78,99,66.18014989639336,0,11.256281407035177,0,0,97.34691500348823,5.628140703517588,1
98,79,99,88.12655494160404,0,11.306532663316583,1,0,85.30094911542992,5.653266331658291,0
58,95,71,98.67404012525625,1,11.35678391959799,0,0,78.33921627119484,5.678391959798995,1
68,20,32,73.36030231855507,1,11.407035175879397,0,0,66.49104671894986,5.703517587939698,1
51,25,18,59.36118329665502,1,11.457286432160805,0,0,36.06936483035285,5.728643216080402,2
69,82,21,42.604046997890364,1,11.507537688442211,0,1,97.07195551027513,5.7537688442211055,1
89,68,10,95.47859981341577,1,11.557788944723619,2,0,83.0874689761977,5.778894472361809,1
24,79,67,95.14694291671957,0,11.608040201005025,2,1,74.72645697339833,5.8040201005025125,1
71,89,10,55.17941007935447,1,11.658291457286433,0,1,83.13250918771949,5.8291457286432165,2
71,12,43,81.72466738639885,0,11.708542713567839,1,0,80.6872330491197,5.8542713567839195,0
56,29,57,44.52607282538616,0,11.758793969849247,1,1,74.60621058526408,5.8793969849246235,2
71,68,98,49.97292591455518,1,11.809045226130653,1,1,98.64037601259918,5.9045226130653266,2
